     country_name      | release_year |                                                                            title                                                                             |    budget    
-----------------------+--------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------
 Argentina             |         2015 | Silent Screams (2015)                                                                                                                                        |    154000.00
 Argentina             |         2014 | Dead Heart (2015)                                                                                                                                            |   1000000.00
 Argentina             |         2013 | Absentia (2011)                                                                                                                                              |     70000.00
 Argentina             |         2012 | The Flaying (2012)                                                                                                                                           |     10000.00
 Argentina             |         2011 | Night of the Demons (2009)                                                                                                                                   |  10000000.00
 Argentina             |         2008 | Dying God (2008)                                                                                                                                             |    500000.00
 Argentina             |         1994 | Phantasm III: Lord of the Dead (1994)                                                                                                                        |   2500000.00
 Australia             |         2015 | The Final Girls (2015)                                                                                                                                       |   4500000.00
 Australia             |         2014 | Charlie's Farm (2014)                                                                                                                                        |   3000000.00
 Australia             |         2014 | Kingdom Come (2014)                                                                                                                                          |   3000000.00
 Australia             |         2013 | The Taking (2013)                                                                                                                                            |     13000.00
 Australia             |         2011 | Make-Out with Violence (2008)                                                                                                                                |    150000.00
 Australia             |         2011 | Make-Out with Violence (2008)                                                                                                                                |    150000.00
 Australia             |         2010 | Hatchet II (2010)                                                                                                                                            |    800000.00
 Australia             |         2009 | Crush (2009)                                                                                                                                                 |   1500000.00
 Australia             |         2008 | Lake Dead (2007)                                                                                                                                             |   2500000.00
 Australia             |         2006 | Like Minds (2006)                                                                                                                                            |   8000000.00
 Austria               |         2014 | Therapy for a Vampire (2014)                                                                                                                                 |   7020000.00
 Austria               |         2008 | Dead in 3 Days 2 (2008)                                                                                                                                      |   2340000.00
 Austria               |         2006 | Dead in 3 Days (2006)                                                                                                                                        |   2340000.00
 Bahrain               |         2013 | Comedown (2012)                                                                                                                                              |   2000000.00
 Bahrain               |         2004 | The Bone Snatcher (2003)                                                                                                                                     |   6000000.00
 Belarus               |         2014 | Wolves (2014)                                                                                                                                                |  18000000.00
 Belgium               |         2014 | Alléluia (2014)                                                                                                                                              |   3388320.00
 Belgium               |         2012 | Twixt (2011)                                                                                                                                                 |   7000000.00
 Belgium               |         2010 | Christopher Roth (2010)                                                                                                                                      |   2749500.00
 Belgium               |         2008 | Left Bank (2008)                                                                                                                                             |    702000.00
 Belgium               |         2002 | Alias (2002)                                                                                                                                                 |   1500000.00
 Bolivia               |         2011 | Maleficarum (2011)                                                                                                                                           |    105000.00
 Brazil                |         2016 | Diário de um Exorcista - Zero (2016)                                                                                                                         |    650000.00
 Brazil                |         2015 | Speak No Evil (2013)                                                                                                                                         |    150000.00
 Brazil                |         2012 | The Watermen (2012)                                                                                                                                          |   1150000.00
 Brazil                |         2011 | Entrei em Pânico ao Saber o que Vocês Fizeram na Sexta-feira 13 do Verão Passado Parte 2 - A Hora da Volta da Vingança dos Jogos Mortais de Halloween (2011) |      1500.00
 Brazil                |         1999 | Resurrection (1999)                                                                                                                                          |  10000000.00
 Brazil                |         1994 | Return of the Living Dead III (1993)                                                                                                                         |   2000000.00
 Brazil                |         1993 | The Resurrected (1991)                                                                                                                                       |   6000000.00
 Brazil                |         1992 | The Refrigerator (1991)                                                                                                                                      |    500000.00
 Brazil                |         1951 | The Thing from Another World (1951)                                                                                                                          |   1600000.00
 Canada                |         2017 | Nilalang (2015)                                                                                                                                              |   1000000.00
 Canada                |         2014 | Infected (2013)                                                                                                                                              |   2100000.00
 Canada                |         2013 | Blood Shot (2013)                                                                                                                                            |   3500000.00
 Canada                |         2011 | Deadball (2011)                                                                                                                                              |    600000.00
 Canada                |         2009 | The Seamstress (2009)                                                                                                                                        |   1500000.00
 Canada                |         2008 | Trailer Park of Terror (2008)                                                                                                                                |   3250000.00
 Canada                |         2007 | Fido (2006)                                                                                                                                                  |   8000000.00
 Canada                |         2006 | Seed (2006)                                                                                                                                                  |  10000000.00
 Canada                |         2004 | Decoys (2004)                                                                                                                                                |   5000000.00
 Canada                |         2001 | Ginger Snaps (2000)                                                                                                                                          |   5000000.00
 Canada                |         2000 | Bruiser (2000)                                                                                                                                               |   5000000.00
 Canada                |         1998 | Lady of the Lake (1998)                                                                                                                                      |     60000.00
 Canada                |         1988 | Zombie Nightmare (1987)                                                                                                                                      |    180000.00
 Canada                |         1985 | Hot Water (1985)                                                                                                                                             |    350000.00
 Chile                 |         2014 | Aftershock (2012)                                                                                                                                            |   2000000.00
 Chile                 |         2011 | Baby Shower (2011)                                                                                                                                           |    900000.00
 Chile                 |         2009 | Descendents (2008)                                                                                                                                           |     60000.00
 China                 |         2017 | Inside: A Chinese Horror Story (2017)                                                                                                                        |    500000.00
 China                 |         2014 | Flight from Hell (2014)                                                                                                                                      |  10000000.00
 China                 |         2012 | The Chrysalis (2012)                                                                                                                                         |   2000000.00
 China                 |         2008 | Missing (2008)                                                                                                                                               |   8000000.00
 China                 |         2006 | Tequila Body Shots (1999)                                                                                                                                    |   1700000.00
 Colombia              |         2011 | The Squad (2011)                                                                                                                                             |   1300000.00
 Czech Republic        |         2010 | Death Bed: The Bed That Eats (1977)                                                                                                                          |     30000.00
 Czech Republic        |         2008 | Repo! The Genetic Opera (2008)                                                                                                                               |   8500000.00
 Denmark               |         2012 | The Innkeepers (2011)                                                                                                                                        |    750000.00
 Denmark               |         2009 | Antichrist (2009)                                                                                                                                            |  11000000.00
 Denmark               |         2005 | Restless Souls (2005)                                                                                                                                        |   1500000.00
 Denmark               |         2003 | May (2002)                                                                                                                                                   |    500000.00
 Denmark               |         1998 | Angel of the Night (1998)                                                                                                                                    |    700000.00
 Denmark               |         1964 | Violent Midnight (1963)                                                                                                                                      |     42000.00
 Dominican Republic    |         2005 | Andrea: The Revenge of the Spirit (2005)                                                                                                                     |    225000.00
 Egypt                 |         2015 | The Vatican Tapes (2015)                                                                                                                                     |   8000000.00
 Egypt                 |         2014 | The Blue Elephant (2014)                                                                                                                                     |   3500000.00
 Egypt                 |         2010 | Stag Night (2008)                                                                                                                                            |   1500000.00
 Finland               |         2017 | It Came from the Desert (2017)                                                                                                                               |   1000000.00
 Finland               |         2015 | Bunny the Killer Thing (2015)                                                                                                                                |   1170000.00
 Finland               |         2012 | War of the Dead (2011)                                                                                                                                       |   1170000.00
 Finland               |         2010 | Rare Exports: A Christmas Tale (2010)                                                                                                                        |   2279160.00
 Finland               |         2008 | Dark Floors (2008)                                                                                                                                           |   5031000.00
 Finland               |         1993 | Soultaker (1990)                                                                                                                                             |    242000.00
 Finland               |         1962 | Carnival of Souls (1962)                                                                                                                                     |     30000.00
 Finland               |         1948 | The Inheritance (1947)                                                                                                                                       |   1000000.00
 France                |         2017 | Raw (2016)                                                                                                                                                   |   4095000.00
 France                |         2016 | Genesis (2016)                                                                                                                                               |      2184.00
 France                |         2015 | Don't Grow Up (2015)                                                                                                                                         |   2340000.00
 France                |         2014 | Dark Touch (2013)                                                                                                                                            |   3193564.14
 France                |         2013 | Maniac (2012)                                                                                                                                                |   6000000.00
 France                |         2012 | The Tall Man (2012)                                                                                                                                          |  18200000.00
 France                |         2011 | Livid (2011)                                                                                                                                                 |   5000000.00
 France                |         2010 | In Their Sleep (2010)                                                                                                                                        |   1638000.00
 France                |         2009 | Don't Look Back (2009)                                                                                                                                       |  15210000.00
 France                |         2008 | Martyrs (2008)                                                                                                                                               |   6500000.00
 France                |         2007 | Inside (2007)                                                                                                                                                |   3000000.00
 France                |         2006 | Sheitan (2006)                                                                                                                                               |   3159000.00
 France                |         2005 | Blood Dolls (1999)                                                                                                                                           |   1000000.00
 France                |         2004 | The Return of James Battle (2004)                                                                                                                            |  16380000.00
 France                |         2003 | Maléfique (2002)                                                                                                                                             |   1170000.00
 France                |         2002 | Wishcraft (2002)                                                                                                                                             |   5000000.00
 France                |         2001 | Sanctimony (2000)                                                                                                                                            |   3000000.00
 France                |         1994 | Giorgino (1994)                                                                                                                                              |  14040000.00
 France                |         1990 | Maniac Cop 2 (1990)                                                                                                                                          |   4000000.00
 France                |         1989 | Death House (1987)                                                                                                                                           |   1500000.00
 France                |         1988 | Dead Heat (1988)                                                                                                                                             |   5000000.00
 France                |         1986 | Raiders of the Living Dead (1986)                                                                                                                            |    800000.00
 France                |         1985 | The Last Horror Film (1982)                                                                                                                                  |   2000000.00
 France                |         1980 | Without Warning (1980)                                                                                                                                       |    150000.00
 France                |         1979 | Prophecy (1979)                                                                                                                                              |  12000000.00
 France                |         1978 | Martin (1978)                                                                                                                                                |     80000.00
 France                |         1976 | Schlock (1973)                                                                                                                                               |     60000.00
 France                |         1973 | Lisa and the Devil (1973)                                                                                                                                    |   1000000.00
 Georgia               |         2011 | 247°F (2011)                                                                                                                                                 |    650000.00
 Germany               |         2017 | Phantasmagoria (2017)                                                                                                                                        |     23400.00
 Germany               |         2016 | The Amityville Playhouse (2015)                                                                                                                              |    462000.00
 Germany               |         2015 | Stung (2015)                                                                                                                                                 |   2500000.00
 Germany               |         2014 | La Petite Mort II (2014)                                                                                                                                     |    117000.00
 Germany               |         2013 | Only Lovers Left Alive (2013)                                                                                                                                |   7000000.00
 Germany               |         2012 | Donner Pass (2011)                                                                                                                                           |    800000.00
 Germany               |         2011 | The Depraved (2011)                                                                                                                                          |   3000000.00
 Germany               |         2010 | We Are the Night (2010)                                                                                                                                      |   7605000.00
 Germany               |         2009 | The Countess (2009)                                                                                                                                          |   8500000.00
 Germany               |         2008 | Surveillance (2008)                                                                                                                                          |   3500000.00
 Germany               |         2007 | Kutsal Damacana (2007)                                                                                                                                       |   2000000.00
 Germany               |         2006 | Hui Buh (2006)                                                                                                                                               |  11700000.00
 Germany               |         2004 | Night of the Living Dorks (2004)                                                                                                                             |   4095000.00
 Germany               |         2002 | Eye See You (2002)                                                                                                                                           |  55000000.00
 Germany               |         1998 | Legend of the Mummy (1998)                                                                                                                                   |   2000000.00
 Greece                |         2009 | Tell Tale (2009)                                                                                                                                             |  12000000.00
 Greece                |         2006 | The Hunt (2006)                                                                                                                                              |    500000.00
 Greece                |         1988 | Rock 'n' Roll Nightmare (1987)                                                                                                                               |     53000.00
 Hong Kong             |         2010 | The Child's Eye (2010)                                                                                                                                       |   4500000.00
 Hong Kong             |         2009 | Blood: The Last Vampire (2009)                                                                                                                               |  30000000.00
 Hong Kong             |         2004 | The Eye 2 (2004)                                                                                                                                             |   2300000.00
 Hong Kong             |         2002 | Yee do hung gaan (2002)                                                                                                                                      |   4000000.00
 Hong Kong             |         2000 | Paranoid (2000)                                                                                                                                              |   4000000.00
 Hungary               |         2017 | The Basement (2017)                                                                                                                                          |     50000.00
 Hungary               |         2014 | Bodom (2014)                                                                                                                                                 |       350.00
 Hungary               |         2005 | The Picture of Dorian Gray (2005)                                                                                                                            |   3000000.00
 Iceland               |         2016 | Grafir & Bein (2016)                                                                                                                                         |    275000.00
 Iceland               |         2009 | Reykjavik Whale Watching Massacre (2009)                                                                                                                     |   4000000.00
