 release_year |                                                                            title                                                                             |    budget    
--------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------
         2019 | Twisted (2019)                                                                                                                                               |    132000.00
         2018 | The House That Jack Built (2018)                                                                                                                             |  10179000.00
         2017 | 315 Wicked Way (2017)                                                                                                                                        |   1000000.00
         2017 | 6Days66Years (2017)                                                                                                                                          |   1000000.00
         2017 | Alien: Covenant (2017)                                                                                                                                       |  97000000.00
         2017 | Alpha Delta Zatan (2017)                                                                                                                                     |     50000.00
         2017 | Apollyon (2017)                                                                                                                                              |   1000000.00
         2017 | Bacchanalia (2017)                                                                                                                                           |   1000000.00
         2017 | Black Creek (2017)                                                                                                                                           |   3000000.00
         2017 | Black Hollow Cage (2017)                                                                                                                                     |   1755000.00
         2017 | Blood Dynasty (2017)                                                                                                                                         |    500000.00
         2017 | Charlie Charlie (2017)                                                                                                                                       |   1000000.00
         2017 | Date of the Dead (2015)                                                                                                                                      |     50000.00
         2017 | Demonic (2015)                                                                                                                                               |   3000000.00
         2017 | Evil Bong 666 (2017)                                                                                                                                         |     50000.00
         2017 | Exorcism of the 7th Demon (2017)                                                                                                                             |    500000.00
         2017 | Get Out (2017)                                                                                                                                               |   5000000.00
         2017 | Habit (2017)                                                                                                                                                 |   1000000.00
         2017 | Halloween Tales (2017)                                                                                                                                       |    500000.00
         2017 | Hind Ka Napak Ko Jawab (2017)                                                                                                                                |   5000000.00
         2017 | Hollow's Ridge (2017)                                                                                                                                        |    500000.00
         2017 | Holy Terror (2017)                                                                                                                                           |   1000000.00
         2017 | House of Evil (2017)                                                                                                                                         |    500000.00
         2017 | Illuminati (2017)                                                                                                                                            |   4000000.00
         2017 | Inside Ben (2017)                                                                                                                                            |   1000000.00
         2017 | Inside: A Chinese Horror Story (2017)                                                                                                                        |    500000.00
         2017 | It Came from the Desert (2017)                                                                                                                               |   1000000.00
         2017 | It Comes at Night (2017)                                                                                                                                     |   5000000.00
         2017 | Knights of the Damned (2017)                                                                                                                                 |   8316000.00
         2017 | Mara (2017)                                                                                                                                                  |   5000000.00
         2017 | Marrowbone (2017)                                                                                                                                            |   9360000.00
         2017 | Muerte: Tales of Horror (2017)                                                                                                                               |    500000.00
         2017 | Nails (2017)                                                                                                                                                 |   5850000.00
         2017 | Nilalang (2015)                                                                                                                                              |   1000000.00
         2017 | Ojos de madera (2017)                                                                                                                                        |    395000.00
         2017 | Paranoia Tapes (2017)                                                                                                                                        |      3000.00
         2017 | Personal Shopper (2016)                                                                                                                                      |   6000000.00
         2017 | Phantasmagoria (2017)                                                                                                                                        |     23400.00
         2017 | Raw (2016)                                                                                                                                                   |   4095000.00
         2017 | Sargad (2017)                                                                                                                                                |      3000.00
         2017 | Solomon's Requiem (2004)                                                                                                                                     |     50000.00
         2017 | Sorceress (2017)                                                                                                                                             |    500000.00
         2017 | Tales from the Dead Zone (2017)                                                                                                                              |   1000000.00
         2017 | The Bad Batch (2016)                                                                                                                                         |   6000000.00
         2017 | The Basement (2017)                                                                                                                                          |     50000.00
