 release_year | movies_released 
--------------+-----------------
         1911 |               1
         1913 |               2
         1914 |               1
         1915 |               1
         1917 |               1
         1919 |               2
         1920 |               3
         1921 |               6
         1922 |               4
         1923 |               2
         1924 |               1
         1925 |               2
         1926 |               4
         1927 |               3
         1928 |               5
         1929 |               4
         1930 |               2
         1931 |               9
         1932 |              15
         1933 |              11
         1934 |               5
         1935 |              11
         1936 |              11
         1937 |               2
         1939 |              11
         1940 |              12
         1941 |              11
         1942 |              11
         1943 |              15
         1944 |              20
         1945 |              12
         1946 |               7
         1947 |               2
         1948 |              10
         1949 |               6
         1950 |               2
         1951 |               7
         1952 |               4
         1953 |              13
         1954 |               9
         1955 |              13
         1956 |              17
         1957 |              41
         1958 |              42
         1959 |              38
         1960 |              30
         1961 |              23
         1962 |              31
         1963 |              34
         1964 |              40
         1965 |              42
         1966 |              42
         1967 |              43
         1968 |              40
         1969 |              35
         1970 |              51
         1971 |              71
         1972 |             102
         1973 |              98
         1974 |              95
         1975 |              79
         1976 |              74
         1977 |              75
         1978 |              71
         1979 |              57
         1980 |              91
         1981 |              88
         1982 |              84
         1983 |              79
         1984 |              65
         1985 |              80
         1986 |              89
         1987 |             113
         1988 |             148
         1989 |             131
         1990 |             127
         1991 |              85
         1992 |              73
         1993 |              61
         1994 |              53
         1995 |              70
         1996 |              67
         1997 |              57
         1998 |              72
         1999 |              73
         2000 |              69
         2001 |              88
         2002 |              92
         2003 |             104
         2004 |             129
         2005 |             174
         2006 |             215
         2007 |             239
         2008 |             239
         2009 |             270
         2010 |             286
         2011 |             310
         2012 |             361
         2013 |             439
         2014 |             537
         2015 |             622
         2016 |             681
         2017 |             930
         2018 |             111
         2019 |               6
         2020 |               1
(106 rows)

