 release_year |     country_name      | count 
--------------+-----------------------+-------
         1944 | Argentina             |     1
         1971 | Argentina             |     1
         1974 | Argentina             |     1
         1975 | Argentina             |     1
         1976 | Argentina             |     1
         1979 | Argentina             |     2
         1994 | Argentina             |     1
         2001 | Argentina             |     1
         2004 | Argentina             |     1
         2005 | Argentina             |     1
         2007 | Argentina             |     1
         2008 | Argentina             |     1
         2011 | Argentina             |     4
         2012 | Argentina             |     2
         2013 | Argentina             |     2
         2014 | Argentina             |     2
         2015 | Argentina             |     3
         2016 | Argentina             |     3
         2017 | Argentina             |     2
         1975 | Australia             |     1
         1980 | Australia             |     3
         1981 | Australia             |     3
         1982 | Australia             |     1
         1987 | Australia             |     1
         1988 | Australia             |     4
         1990 | Australia             |     1
         1992 | Australia             |     2
         1994 | Australia             |     1
         1997 | Australia             |     1
         2000 | Australia             |     4
         2003 | Australia             |     2
         2005 | Australia             |     1
         2006 | Australia             |     3
         2007 | Australia             |     2
         2008 | Australia             |     5
         2009 | Australia             |     5
         2010 | Australia             |     4
         2011 | Australia             |     9
         2012 | Australia             |     1
         2013 | Australia             |     3
         2014 | Australia             |     5
         2015 | Australia             |     6
         2016 | Australia             |     6
         2017 | Australia             |     4
         1921 | Austria               |     1
         1952 | Austria               |     1
         1960 | Austria               |     1
         1985 | Austria               |     1
         2005 | Austria               |     1
         2006 | Austria               |     1
         2008 | Austria               |     1
         2011 | Austria               |     2
         2013 | Austria               |     2
         2014 | Austria               |     2
         2015 | Austria               |     1
         2016 | Austria               |     2
         2004 | Bahrain               |     1
         2012 | Bahrain               |     1
         2013 | Bahrain               |     2
         2014 | Belarus               |     1
         1974 | Belgium               |     1
         1975 | Belgium               |     1
         1986 | Belgium               |     1
         1991 | Belgium               |     1
         1994 | Belgium               |     1
         2002 | Belgium               |     1
         2005 | Belgium               |     1
         2008 | Belgium               |     3
         2010 | Belgium               |     6
         2012 | Belgium               |     2
         2013 | Belgium               |     2
         2014 | Belgium               |     5
         2015 | Belgium               |     1
         2017 | Belgium               |     1
         2011 | Bolivia               |     1
         2015 | Bolivia               |     1
         1951 | Brazil                |     1
         1964 | Brazil                |     1
         1967 | Brazil                |     1
         1968 | Brazil                |     1
         1976 | Brazil                |     1
         1979 | Brazil                |     1
         1982 | Brazil                |     1
         1990 | Brazil                |     1
         1992 | Brazil                |     1
         1993 | Brazil                |     1
         1994 | Brazil                |     1
         1996 | Brazil                |     1
         1999 | Brazil                |     2
         2008 | Brazil                |     1
         2009 | Brazil                |     1
         2011 | Brazil                |     4
         2012 | Brazil                |     1
         2014 | Brazil                |     2
         2015 | Brazil                |     4
         2016 | Brazil                |     4
         2017 | Brazil                |     2
         2013 | Bulgaria              |     1
         2015 | Cambodia              |     1
         1965 | Canada                |     1
         1968 | Canada                |     1
         1971 | Canada                |     1
         1974 | Canada                |     2
         1976 | Canada                |     2
         1981 | Canada                |     1
         1983 | Canada                |     1
         1985 | Canada                |     1
         1986 | Canada                |     1
         1987 | Canada                |     1
         1988 | Canada                |     4
         1989 | Canada                |     1
         1990 | Canada                |     1
         1991 | Canada                |     2
         1993 | Canada                |     1
         1994 | Canada                |     1
         1996 | Canada                |     2
         1998 | Canada                |     1
         2000 | Canada                |     3
         2001 | Canada                |     4
         2002 | Canada                |     2
         2003 | Canada                |     2
         2004 | Canada                |     4
         2005 | Canada                |     4
         2006 | Canada                |     3
         2007 | Canada                |     3
         2008 | Canada                |     5
         2009 | Canada                |     4
         2010 | Canada                |     7
         2011 | Canada                |     8
         2012 | Canada                |     5
         2013 | Canada                |     5
         2014 | Canada                |     7
         2015 | Canada                |    13
         2016 | Canada                |    14
         2017 | Canada                |    22
         2009 | Chile                 |     1
         2011 | Chile                 |     1
         2012 | Chile                 |     2
         2014 | Chile                 |     3
         2006 | China                 |     2
         2008 | China                 |     2
         2012 | China                 |     2
         2013 | China                 |     2
         2014 | China                 |     5
         2015 | China                 |     1
         2016 | China                 |     5
         2017 | China                 |     1
         1983 | Colombia              |     1
         2006 | Colombia              |     1
         2011 | Colombia              |     2
         2015 | Colombia              |     1
         2016 | Colombia              |     1
         1985 | Cuba                  |     1
         1993 | Czech Republic        |     1
         2000 | Czech Republic        |     1
         2001 | Czech Republic        |     1
         2002 | Czech Republic        |     1
         2005 | Czech Republic        |     1
         2007 | Czech Republic        |     1
         2008 | Czech Republic        |     1
         2010 | Czech Republic        |     1
         2015 | Czech Republic        |     1
         2016 | Czech Republic        |     1
         1969 | Czechoslovakia        |     1
         1970 | Czechoslovakia        |     1
         1978 | Czechoslovakia        |     1
         1982 | Czechoslovakia        |     1
         1986 | Czechoslovakia        |     1
         1989 | Czechoslovakia        |     1
         1915 | Denmark               |     1
         1920 | Denmark               |     1
         1929 | Denmark               |     1
         1961 | Denmark               |     1
         1962 | Denmark               |     1
         1964 | Denmark               |     1
         1971 | Denmark               |     1
         1973 | Denmark               |     1
         1976 | Denmark               |     1
         1981 | Denmark               |     1
         1983 | Denmark               |     1
         1985 | Denmark               |     1
         1987 | Denmark               |     1
         1995 | Denmark               |     1
         1996 | Denmark               |     1
         1998 | Denmark               |     1
         1999 | Denmark               |     1
         2003 | Denmark               |     2
         2005 | Denmark               |     1
         2007 | Denmark               |     4
         2009 | Denmark               |     1
         2012 | Denmark               |     2
         2014 | Denmark               |     1
         2015 | Denmark               |     1
         2016 | Denmark               |     1
         2005 | Dominican Republic    |     1
         2010 | Egypt                 |     1
