 release_year |                   country_name                   | movie_count 
--------------+--------------------------------------------------+-------------
         1913 | Germany                                          |           1
         1915 | Germany                                          |           1
         1919 | France                                           |           1
         1920 | USA                                              |           1
         1920 | Norway                                           |           1
         1920 | Germany                                          |           1
         1921 | USA                                              |           1
         1921 | Germany                                          |           4
         1922 | USA                                              |           1
         1922 | Sweden                                           |           1
         1923 | USA                                              |           1
         1925 | USA                                              |           2
         1926 | France                                           |           1
         1927 | USA                                              |           2
         1928 | USA                                              |           2
         1928 | France                                           |           1
         1928 | Austria                                          |           1
         1929 | USA                                              |           2
         1929 | Germany                                          |           1
         1930 | USA                                              |           1
         1931 | USA                                              |           5
         1931 | UK                                               |           1
         1931 | Italy                                            |           1
         1932 | USA                                              |          13
         1932 | France                                           |           1
         1933 | USA                                              |           7
         1933 | UK                                               |           1
         1934 | USA                                              |           2
         1935 | USA                                              |           8
         1935 | Mexico                                           |           1
         1936 | USA                                              |           6
         1936 | UK                                               |           4
         1937 | Czech Republic                                   |           1
         1939 | USA                                              |           7
         1939 | Jamaica                                          |           1
         1940 | USA                                              |           6
         1940 | UK                                               |           2
         1941 | USA                                              |           6
         1941 | UK                                               |           1
         1942 | USA                                              |           9
         1942 | UK                                               |           1
         1943 | USA                                              |           9
         1944 | USA                                              |          13
         1945 | USA"                                             |           1
         1945 | USA                                              |           6
         1945 | UK                                               |           1
         1946 | USA                                              |           5
         1947 | USA                                              |           1
         1948 | USA                                              |           3
         1948 | UK                                               |           3
         1949 | USA                                              |           1
         1949 | UK                                               |           1
         1950 | UK                                               |           2
         1951 | USA                                              |           5
         1952 | USA                                              |           2
         1952 | UK                                               |           1
         1953 | USA                                              |           8
         1953 | UK                                               |           2
         1954 | USA                                              |           7
         1955 | USA                                              |          10
         1955 | Japan                                            |           1
         1955 | France                                           |           1
         1956 | USA                                              |          13
         1956 | UK                                               |           2
         1956 | Mexico                                           |           1
         1957 | USA                                              |          22
         1957 | UK                                               |           4
         1957 | Mexico                                           |           2
         1957 | Japan                                            |           1
         1957 | Finland                                          |           1
         1958 | USA                                              |          19
         1958 | UK                                               |           7
         1958 | Mexico                                           |           2
         1958 | Japan                                            |           1
         1958 | Italy                                            |           1
         1958 | Canada                                           |           1
         1959 | USA                                              |          17
         1959 | UK                                               |           8
         1959 | Sweden                                           |           1
         1959 | Philippines                                      |           1
         1959 | Mexico                                           |           2
         1959 | Japan                                            |           1
         1959 | Italy                                            |           1
         1959 | Germany                                          |           1
         1960 | USA                                              |           6
         1960 | UK                                               |          11
         1960 | Puerto Rico                                      |           1
         1960 | Mexico                                           |           4
         1960 | Japan                                            |           1
         1960 | Italy                                            |           1
         1960 | Germany                                          |           2
         1961 | USA                                              |           6
         1961 | UK                                               |           8
         1961 | Puerto Rico                                      |           1
         1961 | Poland                                           |           1
         1961 | Mexico                                           |           1
         1961 | Italy                                            |           1
         1961 | Ireland                                          |           1
         1961 | Denmark                                          |           1
         1961 | Canada                                           |           1
         1961 | CA                                               |           1
         1962 | Yugoslavia                                       |           1
         1962 | USA                                              |           9
         1962 | UK                                               |           8
         1962 | Sweden                                           |           1
         1962 | Mexico                                           |           1
         1962 | Japan                                            |           1
         1962 | Italy                                            |           2
         1962 | France                                           |           1
         1962 | Denmark                                          |           1
         1963 | USA                                              |           9
         1963 | UK                                               |           4
         1963 | Spain                                            |           2
         1963 | Mexico                                           |           2
         1963 | Japan                                            |           1
         1963 | Italy                                            |           6
         1963 | Germany                                          |           4
         1963 | France                                           |           1
         1964 | USA                                              |          11
         1964 | UK                                               |           8
         1964 | Spain                                            |           2
         1964 | Italy                                            |           6
         1964 | Ireland                                          |           1
         1964 | France                                           |           1
         1964 | Brazil                                           |           1
         1965 | USA                                              |          12
         1965 | UK                                               |           9
         1965 | Mexico                                           |           3
         1965 | Japan                                            |           1
         1965 | Italy                                            |           5
         1965 | Germany                                          |           1
         1965 | France                                           |           1
         1966 | USA                                              |          14
         1966 | UK                                               |           8
         1966 | Spain                                            |           1
         1966 | Serbia                                           |           1
         1966 | Mexico                                           |           2
         1966 | Japan                                            |           2
         1966 | Italy                                            |           4
         1966 | Germany                                          |           1
         1966 | France                                           |           1
         1967 | Ukraine                                          |           1
         1967 | USA                                              |          12
         1967 | UK                                               |          14
         1967 | Spain                                            |           1
         1967 | Pakistan                                         |           1
         1967 | Mexico                                           |           1
         1967 | Italy                                            |           3
         1967 | Bermuda                                          |           1
         1968 | USA                                              |           7
         1968 | UK                                               |           7
         1968 | Switzerland                                      |           1
         1968 | Sweden                                           |           1
         1968 | Mexico                                           |           3
         1968 | Japan                                            |           1
         1968 | Italy                                            |           2
         1968 | Hong Kong                                        |           1
         1968 | Canada                                           |           1
         1968 | Brazil                                           |           1
         1968 | Austria                                          |           1
         1969 | USA                                              |          10
         1969 | UK                                               |           5
         1969 | Spain                                            |           1
         1969 | Portugal                                         |           1
         1969 | Philippines                                      |           1
         1969 | Mexico                                           |           3
         1969 | Japan                                            |           1
         1969 | Italy                                            |           2
         1969 | Germany                                          |           1
         1969 | Czech Republic                                   |           1
         1970 | USA                                              |          14
         1970 | UK                                               |          16
         1970 | Spain                                            |           2
         1970 | Mexico                                           |           1
         1970 | Japan                                            |           1
         1970 | Italy                                            |           3
         1970 | Germany                                          |           1
         1970 | France                                           |           1
         1970 | Czech Republic                                   |           1
         1970 | Colombia                                         |           1
         1970 | Canada                                           |           1
         1971 | USA                                              |          25
         1971 | UK                                               |          11
         1971 | Spain                                            |           7
         1971 | Philippines                                      |           5
         1971 | Mexico                                           |           1
         1971 | Japan                                            |           1
         1971 | Italy                                            |           4
         1971 | Germany                                          |           1
         1971 | France                                           |           1
         1971 | Canada                                           |           1
         1971 | Belgium                                          |           1
         1971 | Austria                                          |           2
         1971 | Argentina                                        |           1
         1972 | USA                                              |          27
         1972 | UK                                               |          22
         1972 | Turkey                                           |           1
         1972 | Spain                                            |           5
         1972 | Slovenia                                         |           1
         1972 | Serbia                                           |           1
         1972 | Portugal                                         |           1
         1972 | Poland                                           |           2
         1972 | Philippines                                      |           3
         1972 | Mexico                                           |           3
         1972 | Italy                                            |           7
         1972 | Ireland                                          |           1
         1972 | Germany                                          |           1
         1972 | France                                           |           1
         1972 | Denmark                                          |           1
         1972 | Austria                                          |           2
         1972 | Australia                                        |           1
         1973 | USA                                              |          34
         1973 | UK                                               |          13
         1973 | Thailand                                         |           1
         1973 | Spain                                            |          13
         1973 | Residenz zu Salzburg                             |           1
         1973 | Portugal                                         |           3
         1973 | Poland                                           |           1
         1973 | Philippines                                      |           1
         1973 | Mexico                                           |           1
         1973 | Italy                                            |           8
         1973 | France                                           |           1
         1973 | Denmark                                          |           1
         1973 | Canada                                           |           3
         1974 | USA                                              |          28
         1974 | UK                                               |          12
         1974 | Spain                                            |           6
         1974 | South Africa                                     |           1
         1974 | Puerto Rico                                      |           1
         1974 | Philippines                                      |           5
         1974 | Mexico                                           |           1
         1974 | Kenya                                            |           1
         1974 | Italy                                            |          11
         1974 | India                                            |           1
         1974 | Germany                                          |           2
         1974 | France                                           |           2
         1974 | Canada                                           |           5
         1974 | Belgium                                          |           1
         1974 | Argentina                                        |           1
         1975 | USA                                              |          17
         1975 | UK                                               |          15
         1975 | Spain                                            |          10
         1975 | Mexico                                           |           3
         1975 | Italy                                            |           6
         1975 | Ecuador                                          |           1
         1975 | Belgium                                          |           2
         1975 | Australia                                        |           1
         1975 | Argentina                                        |           1
         1976 | USA                                              |          23
         1976 | UK                                               |           6
         1976 | Switzerland                                      |           1
         1976 | Spain                                            |           5
         1976 | Singapore                                        |           1
         1976 | Mexico                                           |           1
         1976 | Malaysia                                         |           1
         1976 | Italy                                            |           5
         1976 | Greece                                           |           1
         1976 | Germany                                          |           2
         1976 | Croatia                                          |           1
         1976 | Canada                                           |           5
         1976 | Austria                                          |           1
         1976 | Australia                                        |           1
         1976 | Argentina                                        |           1
         1977 | USA                                              |          37
         1977 | UK                                               |           2
         1977 | U.S. Virgin Islands                              |           1
         1977 | Spain                                            |           3
         1977 | Portugal                                         |           1
         1977 | Malta                                            |           1
         1977 | Japan                                            |           2
         1977 | Italy                                            |          10
         1977 | Honduras                                         |           1
         1977 | Greece                                           |           1
         1977 | Canada                                           |           2
         1977 | Belgium                                          |           1
         1978 | Zimbabwe                                         |           1
         1978 | USA                                              |          31
         1978 | UK                                               |           7
         1978 | Thailand                                         |           1
         1978 | Spain                                            |           2
         1978 | Portugal                                         |           1
         1978 | Philippines                                      |           1
         1978 | Mexico                                           |           3
         1978 | Malaysia                                         |           1
         1978 | Japan                                            |           1
         1978 | Italy                                            |           3
         1978 | India                                            |           1
         1978 | France                                           |           1
         1978 | Canada                                           |           2
         1979 | USA                                              |          20
         1979 | UK                                               |           7
         1979 | Switzerland                                      |           1
         1979 | Sri Lanka                                        |           1
         1979 | Spain                                            |           1
         1979 | Slovakia                                         |           1
         1979 | Philippines                                      |           1
         1979 | Malaysia                                         |           1
         1979 | Japan                                            |           1
         1979 | Italy                                            |           4
         1979 | China                                            |           1
         1979 | Canada                                           |           3
         1979 | Brazil                                           |           1
         1979 | Australia                                        |           3
         1980 | Venezuela                                        |           1
         1980 | USA                                              |          39
         1980 | UK                                               |           5
         1980 | Thailand                                         |           1
         1980 | Spain                                            |           4
         1980 | Serbia                                           |           1
         1980 | Mexico                                           |           1
         1980 | Japan                                            |           1
         1980 | Italy                                            |           6
         1980 | Indonesia                                        |           1
         1980 | India                                            |           2
         1980 | Hong Kong                                        |           1
         1980 | China                                            |           2
         1980 | Canada                                           |           5
         1980 | Austria                                          |           1
