 release_year | average_review_score 
--------------+----------------------
         2017 |   5.5868327402135231
         2016 |   5.2009216589861751
         2015 |   4.9939244663382594
         2014 |   4.9156899810964083
         2013 |   4.8564220183486239
         2012 |   4.7543175487465181
         2011 |   4.7863636363636364
         2010 |   4.7105263157894737
         2009 |   4.7918518518518519
         2008 |   4.9226890756302521
         2007 |   5.0323529411764706
         2006 |   4.9227906976744186
         2005 |   4.8861271676300578
         2004 |   4.9132812500000000
         2003 |   5.1669902912621359
         2002 |   4.7945652173913043
         2001 |   5.1159090909090909
         2000 |   5.1220588235294118
         1999 |   5.0661971830985915
         1998 |   5.1685714285714286
         1997 |   5.0509090909090909
         1996 |   5.1272727272727273
         1995 |   4.9357142857142857
         1994 |   5.0283018867924528
         1993 |   5.4133333333333333
         1992 |   5.1150684931506849
         1991 |   4.9916666666666667
         1990 |   5.0555555555555556
         1989 |   5.1396946564885496
         1988 |   5.1489795918367347
         1987 |   5.0415929203539823
         1986 |   5.0550561797752809
         1985 |   5.2912500000000000
         1984 |   5.2615384615384615
         1983 |   5.2936708860759494
         1982 |   5.2023809523809524
         1981 |   5.2965909090909091
         1980 |   5.3164835164835165
         1979 |   5.3964912280701754
         1978 |   5.3549295774647887
         1977 |   5.2440000000000000
         1976 |   5.3783783783783784
         1975 |   5.3974683544303797
         1974 |   5.2884210526315789
         1973 |   5.4081632653061224
         1972 |   5.2823529411764706
         1971 |   5.0943661971830986
         1970 |   5.2156862745098039
         1969 |   5.5028571428571429
         1968 |   5.8100000000000000
         1967 |   5.3023255813953488
         1966 |   5.1928571428571429
         1965 |   5.4487804878048780
         1964 |   5.8025000000000000
         1963 |   5.6735294117647059
         1962 |   5.7967741935483871
         1961 |   5.3304347826086957
         1960 |   5.9266666666666667
         1959 |   5.4131578947368421
         1958 |   5.3666666666666667
         1957 |   5.2121951219512195
         1956 |   5.4470588235294118
         1955 |   5.4923076923076923
         1954 |   5.6555555555555556
         1953 |   5.7538461538461538
         1952 |   5.3750000000000000
         1951 |   6.1142857142857143
         1950 |   5.4500000000000000
         1949 |   7.0666666666666667
         1948 |   6.3800000000000000
         1947 |   7.1000000000000000
         1946 |   5.6857142857142857
         1945 |   6.3333333333333333
         1944 |   5.8650000000000000
         1943 |   6.1066666666666667
         1942 |   5.6727272727272727
         1941 |   6.1909090909090909
         1940 |   6.0666666666666667
         1939 |   6.1818181818181818
         1937 |   6.5500000000000000
         1936 |   6.1272727272727273
         1935 |   6.6636363636363636
         1934 |   5.7200000000000000
         1933 |   6.5636363636363636
         1932 |   6.7533333333333333
         1931 |   6.6777777777777778
         1930 |   6.8000000000000000
         1929 |   6.9750000000000000
         1928 |   7.3200000000000000
         1927 |   7.3333333333333333
         1926 |   6.5250000000000000
         1925 |   7.0000000000000000
         1924 |   6.0000000000000000
         1923 |   6.9500000000000000
         1922 |   6.2250000000000000
         1921 |   7.1000000000000000
         1920 |   7.3666666666666667
         1919 |   6.7500000000000000
         1917 |   7.0000000000000000
         1915 |   6.1000000000000000
         1914 |   6.9000000000000000
         1913 |   6.5000000000000000
         1911 |   7.1000000000000000
(103 rows)

