     country_name     | release_year |  rating   | number_of_movies 
----------------------+--------------+-----------+------------------
 USA                  |         2014 | NOT RATED |              132
 USA                  |         2015 | NOT RATED |              119
 USA                  |         2013 | NOT RATED |               91
 USA                  |         2016 | NOT RATED |               79
 USA                  |         2009 | R         |               59
 USA                  |         1989 | R         |               58
 USA                  |         2012 | NOT RATED |               57
 USA                  |         1988 | R         |               56
 USA                  |         2007 | R         |               55
 USA                  |         2006 | R         |               55
 USA                  |         2011 | NOT RATED |               54
 USA                  |         1990 | R         |               54
 USA                  |         1987 | R         |               48
 USA                  |         2010 | R         |               47
 USA                  |         2008 | R         |               47
 USA                  |         1981 | R         |               44
 USA                  |         2005 | R         |               44
 USA                  |         1995 | R         |               43
 USA                  |         1980 | R         |               43
 USA                  |         1982 | R         |               43
 USA                  |         2017 | R         |               39
 USA                  |         1986 | R         |               38
 USA                  |         2004 | R         |               37
 USA                  |         1991 | R         |               36
 USA                  |         1974 | R         |               36
 USA                  |         2002 | R         |               35
 USA                  |         1973 | R         |               35
 USA                  |         1998 | R         |               32
 USA                  |         1983 | R         |               31
 USA                  |         1972 | PG        |               31
 USA                  |         2003 | R         |               30
 USA                  |         1984 | R         |               29
 USA                  |         1996 | R         |               28
 USA                  |         1992 | R         |               28
 USA                  |         1978 | R         |               27
 USA                  |         1985 | R         |               27
 USA                  |         1999 | R         |               27
 USA                  |         1976 | R         |               26
 USA                  |         1977 | PG        |               25
 USA                  |         1975 | R         |               24
 USA                  |         2001 | R         |               24
 USA                  |         1957 | APPROVED  |               23
 USA                  |         1993 | R         |               23
 USA                  |         1979 | R         |               21
 USA                  |         1994 | R         |               20
 USA                  |         1997 | R         |               20
 USA                  |         1971 | GP        |               19
 USA                  |         1970 | R         |               18
 USA                  |         2000 | R         |               18
 USA                  |         1959 | APPROVED  |               14
 USA                  |         1958 | APPROVED  |               13
 USA                  |         1967 | UNRATED   |               13
 USA                  |         1944 | APPROVED  |               11
 UK                   |         2008 | R         |               11
 USA                  |         1943 | APPROVED  |               11
 UK                   |         2013 | NOT RATED |               11
 USA                  |         1966 | UNRATED   |               11
 UK                   |         2012 | R         |               11
 USA                  |         1965 | UNRATED   |               10
 USA                  |         1953 | APPROVED  |                9
 Japan                |         2011 | NOT RATED |                9
 UK                   |         2011 | R         |                9
 UK                   |         2014 | NOT RATED |                9
 USA                  |         1956 | APPROVED  |                9
 USA                  |         1939 | APPROVED  |                8
 USA                  |         1954 | APPROVED  |                8
 Japan                |         2013 | NOT RATED |                8
 UK                   |         2005 | R         |                7
 USA                  |         1936 | APPROVED  |                7
