 release_year | genre_name | count 
--------------+------------+-------
         2017 | Thriller   |   344
         2016 | Thriller   |   291
         2015 | Thriller   |   258
         2014 | Thriller   |   244
         2013 | Thriller   |   193
         2012 | Thriller   |   145
         2011 | Thriller   |   143
         2017 | Drama      |   141
         2009 | Thriller   |   138
         2010 | Thriller   |   134
         2007 | Thriller   |   129
         2017 | Mystery    |   117
         2008 | Thriller   |   115
         2016 | Drama      |   112
         2016 | Comedy     |   107
         2015 | Drama      |   106
         2015 | Comedy     |   106
         2006 | Thriller   |    97
         2017 | Comedy     |    97
         2016 | Mystery    |    94
         2014 | Drama      |    85
         2005 | Thriller   |    84
         2014 | Mystery    |    82
         2013 | Comedy     |    80
         2014 | Comedy     |    80
         2015 | Mystery    |    79
         2016 | Sci-Fi     |    75
         2017 | Action     |    73
              | Thriller   |    69
         2016 | Action     |    69
         2012 | Comedy     |    68
         2013 | Drama      |    66
         2017 | Sci-Fi     |    63
         2015 | Action     |    61
         2004 | Thriller   |    60
         2017 | Fantasy    |    57
         2007 | Drama      |    56
         2016 | Fantasy    |    56
         2002 | Thriller   |    55
         2015 | Sci-Fi     |    55
         2010 | Drama      |    53
         2012 | Mystery    |    53
         2012 | Drama      |    53
         2014 | Sci-Fi     |    51
         1988 | Thriller   |    51
         2014 | Action     |    50
         2005 | Mystery    |    50
         2009 | Comedy     |    49
         2012 | Action     |    48
         2013 | Mystery    |    48
         2003 | Thriller   |    48
         2013 | Sci-Fi     |    47
         2011 | Drama      |    47
         2011 | Mystery    |    46
         2009 | Drama      |    46
         2011 | Comedy     |    45
         2008 | Mystery    |    45
         2009 | Mystery    |    45
         2013 | Action     |    45
         2008 | Drama      |    45
         1989 | Thriller   |    45
         2001 | Thriller   |    44
         2005 | Drama      |    44
         2008 | Comedy     |    43
         2010 | Comedy     |    41
         1990 | Thriller   |    41
         2006 | Mystery    |    41
         2006 | Comedy     |    40
         2007 | Mystery    |    40
         2007 | Comedy     |    39
         2015 | Fantasy    |    39
         2011 | Sci-Fi     |    38
         2000 | Thriller   |    38
         2012 | Sci-Fi     |    38
         1980 | Thriller   |    37
