 genre_name | total_budget_dollars | average_movie_budget | number_of_movies 
------------+----------------------+----------------------+------------------
 Thriller   |        9197664651.90 |           7037233.86 |             1307
 Sci-Fi     |        4003134293.50 |           7895728.39 |              507
 Action     |        3876071190.31 |          11333541.49 |              342
 Mystery    |        3809022090.50 |           8427040.02 |              452
 Fantasy    |        3547301711.82 |          11785055.52 |              301
 Drama      |        3330332115.40 |           6782753.80 |              491
 Comedy     |        2133134658.00 |           4094308.36 |              521
 Adventure  |        1595054088.82 |          11642730.58 |              137
 Romance    |         771353328.00 |           7076636.04 |              109
 Crime      |         735625047.00 |           4540895.35 |              162
 Family     |         391361693.82 |          24460105.86 |               16
 Animation  |         247287010.00 |          13738167.22 |               18
 Western    |         166406400.00 |          11093760.00 |               15
 History    |          92072120.00 |          11509015.00 |                8
 War        |          77280980.00 |           5520070.00 |               14
 Musical    |          66625630.00 |           2896766.52 |               23
 Biography  |          29336000.00 |           3667000.00 |                8
 Music      |          27820600.00 |           3091177.78 |                9
 Sport      |           2677000.00 |            669250.00 |                4
 Reality-TV |            150000.00 |            150000.00 |                1
(20 rows)

